index,category,role,clean_skills
1,Executive  Leadership,Chief information officer (CIO),"['Strategic leadership','Business acumen','IT governance','Financial management','Communication skills','Emerging technology knowledge','Decision-making','Project management','Alignment of IT and business objectives','Infrastructure understanding']"
2,Executive  Leadership,Chief information security officer ,"['Cybersecurity expertise','Information security frameworks','Risk assessment and management','Incident response planning','Network security','Security tools and technologies','Policy development and enforcement','Compliance and privacy knowledge','Security audits and assessments']"
3,Executive  Leadership,Chief technology officer (CTO),"['Technology trends knowledge','Strategic planning','Technical roadmap development','Technology evaluation and selection','Software development and engineering','Cloud computing and infrastructure management','Project management','Budgeting and financial management','Communication and leadership']"
4,Management and Strategy,IT manager,"['Team management and leadership','Project management','Budgeting and resource allocation','IT operations and infrastructure management','Vendor and stakeholder management','Problem-solving and decision-making','Communication and interpersonal skills','IT service delivery and support','Knowledge of IT governance frameworks']"
5,Management and Strategy,IT director,"['Strategic planning and vision','IT governance and policy development','Budgeting and financial management','Stakeholder management and relationship building','Project portfolio management','Technology evaluation and selection','Team leadership and talent development']"
6,Architecture and Design,Cloud infrastructure architect,"['In-depth understanding of cloud computing platforms (e.g., AWS, Azure, Google Cloud)','Knowledge of cloud architecture and design principles','Infrastructure as Code (IaC) frameworks (e.g., Terraform, CloudFormation)','Virtualization and containerization technologies (e.g., Docker, Kubernetes)','Networking concepts and technologies in the cloud','Security and compliance in the cloud','Cloud migration strategies and planning','Performance optimization and scalability','Troubleshooting and problem-solving in cloud']"
7,Architecture and Design,Enterprise architect,"['Business and IT strategy alignment','Enterprise-wide architecture planning and governance','IT infrastructure and application portfolio management','Knowledge of industry standards and best practices','Business process modeling and optimization','Strong analytical and problem-solving skills','Communication and stakeholder management']"
8,Architecture and Design,IT systems architect,"['Systems architecture design and implementation','Integration of hardware, software, and network components','Scalability and performance optimization','Knowledge of operating systems and platforms','System security and compliance considerations','Data management and storage solutions','Vendor and technology evaluation','Documentation and technical specifications','Troubleshooting and problem-solving']"
9,Architecture and Design,Solutions architect,"['Design and implementation of end-to-end solutions','Understanding of business requirements and constraints','Selection of appropriate technologies and tools','System integration and interoperability','Knowledge of application architectures and frameworks','Cloud computing and virtualization knowledge','Strong problem-solving and communication skills','Project management and coordination','Pre-sales support and client relationship management']"
10,Architecture and Design,Technical architect,"['In-depth technical expertise in specific domains (e.g., networks, databases)','Design and implementation of technical solutions','Understanding of hardware, software, and network components','Troubleshooting and problem-solving skills','System performance optimization','Security and compliance considerations','Collaboration with development teams','Documentation and technical specifications','Emerging technology research and evaluation']"
11,Insfastructure and Operations,Computer systems manager,"['IT infrastructure management','Network administration and maintenance','Systems planning and implementation','Budgeting and resource allocation','Team management and leadership','Project management','Vendor management and procurement','Troubleshooting and problem-solving','IT security and compliance','Communication and interpersonal skills']"
12,Architecture and Design,Network architect,"['Network design and implementation','Knowledge of networking protocols and technologies','Network infrastructure planning and optimization','Security and firewall implementation','Scalability and performance optimization','Troubleshooting and problem-solving','Network monitoring and analysis','Vendor and technology evaluation','Documentation and technical specifications','Collaboration with cross-functional teams']"
13,Development and Engineering,Systems analyst,"['Business requirements gathering and analysis','System design and specification development','Data modeling and analysis','Process modeling and optimization','System testing and quality assurance','Troubleshooting and problem-solving','Documentation and technical specifications','Collaboration with stakeholders and development teams','Knowledge of business and industry practices']"
